polarization,sub_obj,truth
0.054,0.21458333333333335,1
0.054,0.26464646464646463,1
0.058,0.08333333333333333,1
0.08,0.32366666666666666,1
-0.044,0.2997619047619048,1
0.089,0.3722222222222223,1
0.033,0.3122619047619048,1
0.073,0.26948051948051954,1
-0.149,0.4642857142857143,1
0,0.522077922077922,1
0.116,0.40625,1
0.083,0.2193589743589744,1
0.076,0.4194444444444445,1
-0.123,0.36190476190476195,1
0.132,0.6,1
-0.037,0.43124999999999997,1
-0.14,0.5,1
0.121,0.6839285714285714,1
0.238,0.5925925925925924,1
-0.211,0.0,1
-0.178,0.34090909090909094,1
-0.118,0.5206349206349207,1
0,0.1,1
0.073,0.20833333333333334,1
0.044,0.34861111111111115,1
0.057,0.3675,1
-0.089,0.4286666666666667,1
0.091,0.36045153096522964,1
0.094,0.47361111111111115,1
-0.131,0.3626143479354489,1
-0.131,0.3626143479354489,1
0.153,0.5998951781970648,0
-0.089,0.3340983728914763,0
-0.151,0.5409456058846304,0
-0.078,0.39408602150537636,0
0.086,0.3216880341880342,0
-0.118,0.5110983102918587,0
0.129,0.135,0
0.07,0.4868421052631579,0
0.158,0.27222222222222225,0
-0.144,0.5525,0
-0.244,0.7999999999999999,0
0.108,0.19444444444444448,0
-0.187,0.4537962962962963,0
0.105,0.6050000000000001,0
-0.088,0.75,0
0.064,0.4625,0
0.062,0.3458333333333334,0
-0.101,0.75,0
0.089,0.40066666666666667,0
0.232,0.5081632653061224,0
-0.199,0.29138888888888886,0
0.435,1.0,0
0.236,0.3,0
0.246,0.0,0
-0.04,0.3666666666666667,0
0.097,0.44144385026737964,0
0.263,0.0,0
0.095,0.3976189566735783,0
